streamGauge,NSE,peakFlow.observed,peakFlow.modeled,percentError.peakFlow,flowVolume.observed,flowVolume.modeled,percentError.FlowVolume,ID
SANDIEGO_CULVER,-0.822360734708408,1212.858,3477.93722221064,186.755516491678,54920660.4,53477045.501853,-2.62854613843456,11
11048553,-3.87581445665207,45.425,121.304016239131,167.04241329473,952602,2899875.74103715,204.416297786185,11
SANDIEGO_CAMPUS,0.664472723110922,3799.485,7015.05611525962,84.6317623377805,118997456.4,111769043.590487,-6.07442631816874,11
ELMODENA,0.586632310681964,572.088,386.337111599177,-32.4689363176335,10371780,10306002.4734185,-0.634197086532255,12
CENTRAL_IRVINE,-1.05317690080756,0.059,118.604511721577,200924.596138266,3110.4,7409222.22049335,238108.018920182,12
PETERS,0.75917084537708,2252.97,1114.75615879957,-50.5205946461972,93700497.6,43658403.5886348,-53.4064335762559,12
11048400,0.32361919301153,48.7,50.3099699469257,3.30589311483716,3077064,3894920.88667866,26.5791314928339,12
11048200,-0.002782834543827,38.24,20.2895555913293,-46.9415387256033,491859,508910.232039814,3.46669107199712,12
SANDIEGO_CULVER,-8.63321221748155,313.948,789.068999583738,151.337482507848,28729706.4,47615843.8694875,65.7373145640205,12
11048553,0.0383094780909372,29.8,60.7683099988863,103.920503351967,3198795,2814896.69327612,-12.0013413402198,12
SANDIEGO_CAMPUS,0.802639255986444,2698.586,1791.14742798847,-33.6264462948941,164915992.8,105308592.418334,-36.1440994106339,12
ELMODENA,-1947.07283577757,7.928,268.871106618694,3291.41153656274,570042,7591721.04311148,1231.78275339562,13
CENTRAL_IRVINE,-1.03699025511335,20.118,68.7294955282947,241.631849728078,1496941.2,2920522.95803549,95.0993771856566,13
PETERS,-143.935800827008,43.8,720.445820868398,1544.85347230228,29201288.4,23683969.4039146,-18.894094399223,13
11048400,0.447749482145414,15.3,15.9283508242669,4.10686813246339,575928,838359.798240446,45.566771929902,13
11048200,-0.599154584783933,0.76,1.72144096330258,126.505389908234,47961,12123.0314060355,-74.7231471278007,13
SANDIEGO_CULVER,0.623311580631001,341.209,511.672379115476,49.9586409254961,11997763.2,17819177.3866108,48.5208291709808,13
11048553,0.114317318188563,35.775,70.4828844638177,97.0171473481976,1825917,1717893.90112767,-5.91610127252954,13
SANDIEGO_CAMPUS,0.858164807168067,1564.752,1223.88183405002,-21.7842933544728,79056133.2,50105546.7119621,-36.6202915778809,13
PETERS,-0.216267060829554,939.932,258.81265581973,-72.4647468306505,46789138.8,3211314.36740059,-93.1366243325671,14
11048400,-0.0289518398455513,23.825,0,-100,208242,0,-100,14
11048200,-0.00797194570151638,11.055,0,-100,42381,0,-100,14
